Country,Region,Population,Area (sq. mi.),Net migration,GDP ($ per capita),Literacy (%)
Afghanistan ,ASIA (EX. NEAR EAST)         ,31056997,647500,"23,06",700,"36,0"
Albania ,EASTERN EUROPE                     ,3581655,28748,"-4,93",4500,"86,5"
Algeria ,NORTHERN AFRICA                    ,32930091,2381740,"-0,39",6000,"70,0"
American Samoa ,OCEANIA                            ,57794,199,"-20,71",8000,"97,0"
Andorra ,WESTERN EUROPE                     ,71201,468,"6,6",19000,"100,0"
Angola ,SUB-SAHARAN AFRICA                 ,12127071,1246700,0,1900,"42,0"
Anguilla ,LATIN AMER. & CARIB    ,13477,102,"10,76",8600,"95,0"
Antigua & Barbuda ,LATIN AMER. & CARIB    ,69108,443,"-6,15",11000,"89,0"
Argentina ,LATIN AMER. & CARIB    ,39921833,2766890,"0,61",11200,"97,1"
Armenia ,C.W. OF IND. STATES ,2976372,29800,"-6,47",3500,"98,6"
Aruba ,LATIN AMER. & CARIB    ,71891,193,0,28000,"97,0"
Australia ,OCEANIA                            ,20264082,7686850,"3,98",29000,"100,0"
Austria ,WESTERN EUROPE                     ,8192880,83870,2,30000,"98,0"
Azerbaijan ,C.W. OF IND. STATES ,7961619,86600,"-4,9",3400,"97,0"
"Bahamas, The ",LATIN AMER. & CARIB    ,303770,13940,"-2,2",16700,"95,6"
Bahrain ,NEAR EAST                          ,698585,665,"1,05",16900,"89,1"
Bangladesh ,ASIA (EX. NEAR EAST)         ,147365352,144000,"-0,71",1900,"43,1"
Barbados ,LATIN AMER. & CARIB    ,279912,431,"-0,31",15700,"97,4"
Belarus ,C.W. OF IND. STATES ,10293011,207600,"2,54",6100,"99,6"
Belgium ,WESTERN EUROPE                     ,10379067,30528,"1,23",29100,"98,0"
Belize ,LATIN AMER. & CARIB    ,287730,22966,0,4900,"94,1"
Benin ,SUB-SAHARAN AFRICA                 ,7862944,112620,0,1100,"40,9"
Bermuda ,NORTHERN AMERICA                   ,65773,53,"2,49",36000,"98,0"
Bhutan ,ASIA (EX. NEAR EAST)         ,2279723,47000,0,1300,"42,2"
Bolivia ,LATIN AMER. & CARIB    ,8989046,1098580,"-1,32",2400,"87,2"
Bosnia & Herzegovina ,EASTERN EUROPE                     ,4498976,51129,"0,31",6100,
Botswana ,SUB-SAHARAN AFRICA                 ,1639833,600370,0,9000,"79,8"
