"year","month","decimal","average_CO2","average_unc","trend","trend_unc","average_CO4","average_N2O","","",""
"2019","1","2019.042","409.93","0.11","408.87","0.08","1864.97","331.79","","",""
"2019","2","2019.125","410.35","0.12","408.96","0.08","1865.04","331.75","","",""
"2019","3","2019.208","410.9","0.12","409.24","0.08","1866.32","331.67","","",""
"2019","4","2019.292","411.35","0.11","409.52","0.08","1865.29","331.62","","",""
"2019","5","2019.375","411.36","0.09","409.72","0.08","1861.98","331.64","","",""
"2019","6","2019.458","410.54","0.07","409.95","0.08","1858.8","331.73","","",""
"2019","7","2019.542","408.88","0.11","410.16","0.08","1858.22","331.85","","",""
"2019","8","2019.625","407.64","0.12","410.49","0.07","1862.91","331.89","","",""
"2019","9","2019.708","407.93","0.11","410.78","0.07","1870.79","331.93","","",""
"2019","10","2019.792","409.44","0.11","410.99","0.07","1875.38","332.08","","",""
"2019","11","2019.875","410.87","0.1","411.08","0.07","1875.56","332.27","","",""
"2019","12","2019.958","411.76","0.09","411.17","0.07","1874.68","332.42","","",""
"2020","1","2020.042","412.43","0.08","411.37","0.06","1873.13","332.51","","",""
"2020","2","2020.125","412.95","0.1","411.55","0.06","1872.75","332.58","","",""
"2020","3","2020.208","413.44","0.1","411.78","0.06","1874.73","332.64","","",""
"2020","4","2020.292","413.86","0.09","412.03","0.06","1875.85","332.72","","",""
"2020","5","2020.375","413.81","0.09","412.17","0.06","1874.32","332.79","","",""
"2020","6","2020.458","412.88","0.11","412.3","0.06","1871.87","332.89","","",""
"2020","7","2020.542","411.17","0.11","412.45","0.06","1871.49","333.04","","",""
"2020","8","2020.625","409.73","0.13","412.58","0.06","1876.54","333.17","","",""
"2020","9","2020.708","410","0.13","412.86","0.06","1884.68","333.27","","",""
"2020","10","2020.792","411.66","0.14","413.21","0.06","1890.09","333.43","","",""
"2020","11","2020.875","413.25","0.11","413.46","0.06","1891.91","333.63","","",""
"2020","12","2020.958","414.14","0.08","413.55","0.06","1891.88","333.8","","",""
"2021","1","2021.042","414.74","0.11","413.69","0.06","1889.72","333.92","","",""
"2021","2","2021.125","415.21","0.13","413.81","0.06","1887.67","334","","",""
"2021","3","2021.208","415.51","0.12","413.85","0.06","1888.73","334.05","","",""
"2021","4","2021.292","415.82","0.12","413.99","0.06","1891.26","334.1","","",""
"2021","5","2021.375","416.01","0.12","414.38","0.06","1891.63","334.15","","",""
"2021","6","2021.458","415.2","0.06","414.62","0.06","1888.41","334.16","","",""
"2021","7","2021.542","413.45","0.08","414.74","0.06","1886.34","334.18","","",""
"2021","8","2021.625","412.16","0.07","415.01","0.06","1892.66","334.27","","",""
"2021","9","2021.708","412.38","0.07","415.24","0.06","1902.73","334.43","","",""
"2021","10","2021.792","413.84","0.09","415.39","0.06","1908.11","334.64","","",""
"2021","11","2021.875","415.59","0.1","415.8","0.06","1909.73","334.87","","",""
"2021","12","2021.958","416.62","0.1","416.03","0.06","1909.49","335.1","","",""
"2022","1","2022.042","417.2","0.08","416.14","0.06","1908.28","335.27","","",""
"2022","2","2022.125","417.63","0.1","416.24","0.06","1908.06","335.36","","",""
"2022","3","2022.208","418.05","0.1","416.39","0.06","1909.05","335.42","","",""
"2022","4","2022.292","418.44","0.1","416.6","0.06","1909.49","335.47","","",""
"2022","5","2022.375","418.42","0.1","416.79","0.06","1907.95","335.49","","",""
"2022","6","2022.458","417.5","0.1","416.92","0.06","1905.55","335.5","","",""
"2022","7","2022.542","415.8","0.1","417.09","0.06","1904.66","335.56","","",""
"2022","8","2022.625","414.44","0.1","417.29","0.06","1908.94","335.65","","",""
"2022","9","2022.708","414.59","0.1","417.45","0.06","1915.71","335.77","","",""
"2022","10","2022.792","416.13","0.1","417.68","0.06","1920.11","335.95","","",""
"2022","11","2022.875","417.79","0.1","418","0.06","1923.57","336.16","","",""
